OrganizationID,County,State,ZipCode
Organization 396,Harrison County,IN,47112
Organization 397,Floyd County,IN,47150
Organization 398,Clark County,IN,47129
Organization 399,Clark County,IN,47130
Organization 400,Floyd County,IN,47150
Organization 401,Harrison County,IN,
Organization 402,Harrison County,IN,
Organization 403,Clark County,IN,47130
Organization 404,Floyd County,IN,47150
Organization 405,Floyd County,IN,47150
Organization 406,Floyd County,IN,47150
Organization 407,Clark County,IN,47130
Organization 408,Floyd County,IN,47150
Organization 409,Harrison County,IN,47112
Organization 410,Clark County,IN,47130
Organization 411,Clark County,IN,47129
Organization 412,Clark County,IN,
Organization 413,Floyd County,IN,
Organization 414,Harrison County,IN,
Organization 415,Floyd County,IN,
Organization 416,Clark County,IN,47130
Organization 417,Clark County,IN,47130
Organization 418,Clark County,IN,47129
Organization 419,Clark County,IN,47130
Organization 420,Floyd County,IN,47150
Organization 421,Floyd County,IN,47150
Organization 422,Floyd County,IN,47150
Organization 423,Clark County,IN,47130
Organization 424,Clark County,IN,47129
Organization 425,Clark County,IN,47130
Organization 426,Floyd County,IN,47150
Organization 427,Floyd County,IN,47150
Organization 428,Floyd County,IN,47150
Organization 429,Floyd County,IN,47150
Organization 430,Clark County,IN,47130
Organization 431,Floyd County,IN,47150
Organization 432,Clark County,IN,47130
Organization 433,Floyd County,IN,47150
Organization 434,Harrison County,IN,47112
Organization 435,Floyd County,IN,47150
Organization 436,Harrison County,IN,
Organization 437,Floyd County,IN,47150
Organization 438,Harrison County,IN,47112
Organization 439,Clark County,IN,47129
Organization 440,Harrison County,IN,
Organization 441,Harrison County,IN,
Organization 442,Floyd County,IN,
Organization 443,Harrison County,IN,
Organization 444,Floyd County,IN,47150
Organization 445,Clark County,IN,47130
Organization 446,Floyd County,IN,47150
Organization 447,Harrison County,IN,47112
Organization 448,Clark County,IN,47130
Organization 449,Floyd County,IN,47150
Organization 450,Harrison County,IN,47112
